hash,dog
2472,0
1645,0
286,0
421,0
2591,0
1975,0
450,0
566,0
796,0
2067,0
2362,0
2429,0
1743,0
1797,0
668,0
40,0
1017,0
1872,0
2419,0
2550,0
2547,0
53,0
531,0
879,0
1489,0
1538,0
2329,0
347,0
2021,0
853,0
260,0
626,0
1355,0
2190,0
1594,0
1957,0
1521,0
1997,0
2193,0
328,0
2248,0
449,0
2544,0
2626,0
2308,0
2303,0
2293,0
1406,0
1343,0
1131,0
388,0
512,0
1856,0
2321,0
114,0
927,0
1800,0
844,0
565,0
1781,0
2054,0
400,0
2716,0
2032,0
1776,0
730,0
2222,0
2538,0
808,0
2169,0
2458,0
1332,0
1342,0
2200,0
1933,0
2014,0
471,0
2403,0
2153,0
507,0
467,0
1044,0
678,0
1993,0
1694,0
2583,0
2440,0
972,0
1885,0
1145,0
854,0
2445,0
369,0
985,0
1173,0
1039,0
2604,0
1459,0
2479,0
1836,0
1924,0
557,0
1686,0
1130,0
235,0
461,0
1281,0
1413,0
398,0
1257,0
1088,0
593,0
1007,0
1011,0
2407,0
933,0
1167,0
412,0
2297,0
1391,0
1437,0
1269,0
1581,0
1430,0
2653,0
1953,0
2473,0
1472,0
590,0
2226,0
1414,0
1648,0
92,0
2108,0
2441,0
1221,0
550,0
963,0
950,0
1527,0
1934,0
1573,0
321,0
1097,0
302,0
439,0
108,0
782,0
574,0
1992,0
1318,0
158,0
1657,0
1418,0
960,0
1244,0
1087,0
1593,0
134,0
1567,0
2316,0
2170,0
1669,0
1646,0
2235,0
2569,0
1696,0
1326,0
2022,0
1461,0
530,0
1557,0
1405,0
614,0
2401,0
2715,0
1681,0
2146,0
283,0
2296,0
2551,0
190,0
27,0
2244,0
843,0
885,0
223,0
1289,0
1162,0
1633,0
202,0
428,0
263,0
170,0
2343,0
113,0
2596,0
1367,0
898,0
195,0
2467,0
1091,0
577,0
1001,0
1529,0
1544,0
576,0
211,0
1791,0
887,0
1969,0
2570,0
1799,0
2263,0
1829,0
2130,0
319,0
1583,0
867,0
1404,0
2015,0
1840,0
936,0
893,0
150,0
2211,0
2311,0
1658,0
2047,0
460,0
373,0
2351,0
2247,0
1732,0
1368,0
2700,0
1610,0
1312,0
2697,0
1303,0
1691,0
1850,0
2228,0
2489,0
578,0
2239,0
894,0
1333,0
1747,0
2056,0
737,0
317,0
1613,0
1837,0
1739,0
870,0
1456,0
923,0
1025,0
1237,0
1663,0
1235,0
500,0
1445,0
2013,0
2218,0
1315,0
1632,0
23,0
1100,0
377,0
166,0
966,0
366,0
1398,0
634,0
1271,0
2515,0
738,0
232,0
445,0
845,0
623,0
193,0
982,0
882,0
677,0
1865,0
2361,0
157,0
1203,0
2425,0
1981,0
1496,0
1024,0
2269,0
154,0
2698,0
1441,0
1641,0
704,0
1763,0
2654,0
2093,0
2061,0
1460,0
422,0
1139,0
1685,0
1524,0
2501,0
458,0
59,0
2528,0
2574,0
1433,0
1970,0
2582,0
1357,0
670,0
1952,0
1466,0
1407,0
1803,0
559,0
57,0
277,0
1217,0
792,0
2579,0
1222,0
1127,0
99,0
1324,0
2232,0
1218,0
1164,0
31,0
326,0
1230,0
1387,0
525,0
220,0
204,0
2102,0
803,0
1750,0
968,0
1835,0
741,0
1974,0
1753,0
510,0
945,0
1535,0
280,0
160,0
2257,0
1293,0
1317,0
536,0
914,0
2370,0
86,0
769,0
2114,0
2120,0
1980,0
1298,0
1023,0
1662,0
2355,0
1642,0
2452,0
2655,0
123,0
1879,0
946,0
147,0
2390,0
429,0
436,0
1033,0
177,0
751,0
2317,0
801,0
1124,0
569,0
1520,0
850,0
1195,0
1193,0
83,0
999,0
1839,0
2126,0
1759,0
380,0
1158,0
1253,0
1421,0
109,0
209,0
2029,0
1228,0
1279,0
2105,0
2645,0
2485,0
309,0
973,0
652,0
711,0
1042,0
51,0
1736,0
2592,0
2069,0
1055,0
2017,0
2622,0
29,0
5,0
2476,0
314,0
1561,0
336,0
2271,0
1061,0
2107,0
1623,0
192,0
451,0
156,0
2442,0
2450,0
656,0
119,0
829,0
924,0
2635,0
2246,0
82,0
1752,0
1081,0
775,0
2522,0
1026,0
488,0
1832,0
749,0
2676,0
2089,0
2286,0
2023,0
1109,0
1798,0
2040,0
1570,0
346,0
522,0
215,0
703,0
98,0
1366,0
464,0
2540,0
2300,0
254,0
1887,0
1231,0
2031,0
8,0
2470,0
1891,0
281,0
1627,0
1012,0
671,0
2689,0
174,0
1247,0
322,0
1724,0
715,0
135,0
186,0
2534,0
585,0
2272,0
423,0
1758,0
862,0
673,0
1015,0
2068,0
231,0
2078,0
630,0
297,0
1410,0
1330,0
1705,0
2471,0
2219,0
2463,0
227,0
1571,0
1063,0
1702,0
598,0
1134,0
2164,0
2379,0
1123,0
1375,0
1757,0
165,0
1347,0
2051,0
606,0
911,0
2615,0
791,0
1518,0
2469,0
1335,0
499,0
1653,0
1099,0
310,0
996,0
396,0
1316,0
233,0
1473,0
1258,0
315,0
2680,0
1904,0
2103,0
1116,0
247,0
2483,0
1700,0
2506,0
1313,0
1626,0
1328,0
2552,0
1635,0
34,0
2095,0
762,0
1929,0
496,0
2660,0
2651,0
1325,0
188,0
196,0
2391,0
382,0
785,0
846,0
1169,0
1494,0
2266,0
781,0
1842,0
787,0
1500,0
1294,0
2034,0
352,0
2593,0
552,0
592,0
348,0
153,0
2087,0
1692,0
2340,0
1780,0
2524,0
2598,0
1773,0
903,0
2632,0
638,0
1069,0
1093,0
482,0
13,0
2605,0
1504,0
199,0
2451,0
1083,0
1065,0
1606,0
2613,0
459,0
1112,0
2542,0
2006,0
1619,0
1443,0
1563,0
2663,0
2304,0
1138,0
2275,0
2309,0
944,0
588,0
1092,0
876,0
2036,0
546,0
734,0
1502,0
325,0
139,0
661,0
1450,0
1772,0
573,0
